Date,Trial,Context,Sequence,Response,Correct,RT
2020-09-07,47,Stripe,A,R,1,0.51
2020-09-07,48,Stripe,B,R,0,0.45
2020-09-07,49,Stripe,B,R,0,0.26
2020-09-07,50,Stripe,B,R,0,1.78
2020-09-07,51,Stripe,A,R,1,0.51
2020-09-07,52,Stripe,A,R,1,0.38
2020-09-07,53,Stripe,A,R,1,0.46
2020-09-07,54,Stripe,A,R,1,0.7
2020-09-07,55,Stripe,B,R,0,0.76
2020-09-07,56,Stripe,B,R,0,0.13
2020-09-07,57,Stripe,B,R,0,0.14
2020-09-07,58,Stripe,A,R,1,1.23
2020-09-07,59,Stripe,A,R,1,0.62
2020-09-07,60,Stripe,B,R,0,1.82
2020-09-07,61,Stripe,A,R,1,0.4
2020-09-07,62,Stripe,B,R,0,0.41
2020-09-07,63,Stripe,B,R,0,0.18
2020-09-07,64,Stripe,B,R,0,0.2
2020-09-07,65,Stripe,A,R,1,0.25
2020-09-07,66,Stripe,B,R,0,0.22
2020-09-07,67,Stripe,A,R,1,0.23
2020-09-07,68,Stripe,B,R,0,0.96
2020-09-07,69,Stripe,A,R,1,0.23
2020-09-07,70,Stripe,A,R,1,0.25
2020-09-07,71,Stripe,B,R,0,1.77
2020-09-07,72,Stripe,B,R,0,0.22
2020-09-07,73,Stripe,B,R,0,0.14
2020-09-07,74,Stripe,B,R,0,0.5
2020-09-07,75,Stripe,B,R,0,0.33
2020-09-07,76,Stripe,A,R,1,0.16
2020-09-07,77,Stripe,A,R,1,0.23
2020-09-07,78,Stripe,A,R,1,0.21
2020-09-07,79,Stripe,A,R,1,0.64
2020-09-07,80,Stripe,A,R,1,0.13
2020-09-08,1,Stripe,B,R,0,0.21
2020-09-08,2,Stripe,B,R,0,0.24
2020-09-08,3,Stripe,A,R,1,0.26
2020-09-08,4,Stripe,B,R,0,0.23
2020-09-08,5,Stripe,A,R,1,0.55
2020-09-08,6,Stripe,B,R,0,0.24
2020-09-08,7,Stripe,B,L,1,3.36
2020-09-08,8,Stripe,A,R,1,0.22
2020-09-08,9,Stripe,B,R,0,0.43
2020-09-08,10,Stripe,B,R,0,0.18
2020-09-08,11,Stripe,A,R,1,0.21
2020-09-08,12,Stripe,A,R,1,0.27
2020-09-08,13,Stripe,B,R,0,0.95
2020-09-08,14,Stripe,B,R,0,0.13
2020-09-08,15,Stripe,A,R,1,0.49
2020-09-08,16,Stripe,A,R,1,0.38
2020-09-08,17,Stripe,A,R,1,0.18
2020-09-08,18,Stripe,A,R,1,0.44
2020-09-08,19,Stripe,B,R,0,0.17
2020-09-08,20,Stripe,B,R,0,0.21
2020-09-08,21,Stripe,A,R,1,0.37
2020-09-08,22,Stripe,B,R,0,0.48
2020-09-08,23,Stripe,B,R,0,0.63
2020-09-08,24,Stripe,B,R,0,0.16
2020-09-08,25,Stripe,A,R,1,0.19
2020-09-08,26,Stripe,B,R,0,0.44
2020-09-08,27,Stripe,B,R,0,0.55
2020-09-08,28,Stripe,A,R,1,0.19
2020-09-08,29,Stripe,B,R,0,0.17
2020-09-08,30,Stripe,B,R,0,0.45
2020-09-08,31,Stripe,B,L,1,0.59
2020-09-08,32,Stripe,B,R,0,0.19
2020-09-08,33,Stripe,B,R,0,0.19
2020-09-08,34,Stripe,A,R,1,0.24
2020-09-08,35,Stripe,B,R,0,2.19
2020-09-08,36,Stripe,B,R,0,0.17
2020-09-08,37,Stripe,B,R,0,1.12
2020-09-08,38,Stripe,A,R,1,0.18
2020-09-08,39,Stripe,A,R,1,0.35
2020-09-08,40,Stripe,A,R,1,0.51
2020-09-08,41,Stripe,B,L,1,0.28
2020-09-08,42,Stripe,B,R,0,0.41
2020-09-08,43,Stripe,A,R,1,0.27
2020-09-08,44,Stripe,A,R,1,0.37
2020-09-08,45,Stripe,A,R,1,0.18
2020-09-08,46,Stripe,B,R,0,0.43
2020-09-08,47,Stripe,A,R,1,0.15
2020-09-08,48,Stripe,A,R,1,1.07
2020-09-08,49,Stripe,B,R,0,0.2
2020-09-08,50,Stripe,B,R,0,0.18
2020-09-08,51,Stripe,B,R,0,0.24
2020-09-08,52,Stripe,B,R,0,0.32
2020-09-08,53,Stripe,A,R,1,0.25
2020-09-08,54,Stripe,B,R,0,0.19
2020-09-08,55,Stripe,B,R,0,0.17
2020-09-08,56,Stripe,A,R,1,0.24
2020-09-08,57,Stripe,A,R,1,0.24
2020-09-08,58,Stripe,A,R,1,0.2
2020-09-08,59,Stripe,A,R,1,0.31
2020-09-08,60,Stripe,B,R,0,1.23
2020-09-08,61,Stripe,B,R,0,1.27
2020-09-08,62,Stripe,A,R,1,0.42
2020-09-08,63,Stripe,A,R,1,0.19
2020-09-08,64,Stripe,B,R,0,0.15
2020-09-08,65,Stripe,A,R,1,0.22
2020-09-08,66,Stripe,B,R,0,0.65
2020-09-08,67,Stripe,A,R,1,0.39
2020-09-08,68,Stripe,A,R,1,0.18
2020-09-08,69,Stripe,A,R,1,0.19
2020-09-08,70,Stripe,B,R,0,0.18
2020-09-08,71,Stripe,B,R,0,0.45
2020-09-08,72,Stripe,B,R,0,0.19
2020-09-08,73,Stripe,A,R,1,0.42
2020-09-08,74,Stripe,A,R,1,0.17
2020-09-08,75,Stripe,A,R,1,0.18
2020-09-08,76,Stripe,A,R,1,0.26
2020-09-08,77,Stripe,A,R,1,0.18
2020-09-08,78,Stripe,A,R,1,0.54
2020-09-08,79,Stripe,A,R,1,0.4
2020-09-08,80,Stripe,A,R,1,0.21
2020-09-09,1,Stripe,A,R,1,0.23
2020-09-09,2,Stripe,A,R,1,0.18
2020-09-09,3,Stripe,A,R,1,0.46
2020-09-09,4,Stripe,B,R,0,3.87
2020-09-09,5,Stripe,B,R,0,0.19
2020-09-09,6,Stripe,B,R,0,0.26
2020-09-09,7,Stripe,A,R,1,1.73
2020-09-09,8,Stripe,A,R,1,0.21
2020-09-09,9,Stripe,B,R,0,0.17
2020-09-09,10,Stripe,A,R,1,0.13
2020-09-09,11,Stripe,A,R,1,1.23
2020-09-09,12,Stripe,A,R,1,0.2
2020-09-09,13,Stripe,B,R,0,0.27
2020-09-09,14,Stripe,A,R,1,0.61
2020-09-09,15,Stripe,B,R,0,0.48
2020-09-09,16,Stripe,A,R,1,0.16
2020-09-09,17,Stripe,A,R,1,0.24
2020-09-09,18,Stripe,B,R,0,0.41
2020-09-09,19,Stripe,B,R,0,0.18
2020-09-09,20,Stripe,B,R,0,0.26
2020-09-09,21,Stripe,B,R,0,0.27
2020-09-09,22,Stripe,B,R,0,0.13
2020-09-09,23,Stripe,B,R,0,1.56
2020-09-09,24,Stripe,B,R,0,0.2
2020-09-09,25,Stripe,B,R,0,0.2
2020-09-09,26,Stripe,A,R,1,0.24
2020-09-09,27,Stripe,B,R,0,0.22
2020-09-09,28,Stripe,B,R,0,0.24
2020-09-09,29,Stripe,B,R,0,0.74
2020-09-09,30,Stripe,A,R,1,0.2
2020-09-09,31,Stripe,A,R,1,0.82
2020-09-09,32,Stripe,A,R,1,0.18
2020-09-09,33,Stripe,A,R,1,0.18
2020-09-09,34,Stripe,A,R,1,0.19
2020-09-09,35,Stripe,A,R,1,0.2
2020-09-09,36,Stripe,B,R,0,0.3
2020-09-09,37,Stripe,B,R,0,1.07
2020-09-09,38,Stripe,A,R,1,0.4
2020-09-09,39,Stripe,A,R,1,0.17
2020-09-09,40,Stripe,A,R,1,0.29
2020-09-09,41,Stripe,B,R,0,0.19
2020-09-09,42,Stripe,B,R,0,2.52
2020-09-09,43,Stripe,B,R,0,1.08
2020-09-09,44,Stripe,A,R,1,0.16
2020-09-09,45,Stripe,B,R,0,0.15
2020-09-09,46,Stripe,A,R,1,0.23
2020-09-09,47,Stripe,B,R,0,0.24
2020-09-09,48,Stripe,B,R,0,0.17
2020-09-09,49,Stripe,B,R,0,0.17
2020-09-09,50,Stripe,A,R,1,0.15
2020-09-09,51,Stripe,A,R,1,1.23
2020-09-09,52,Stripe,A,R,1,0.21
2020-09-09,53,Stripe,B,R,0,0.72
2020-09-09,54,Stripe,A,R,1,0.25
2020-09-09,55,Stripe,A,R,1,0.26
2020-09-09,56,Stripe,A,R,1,1.0
2020-09-09,57,Stripe,B,R,0,0.71
2020-09-09,58,Stripe,B,R,0,0.19
2020-09-09,59,Stripe,B,R,0,0.18
2020-09-09,60,Stripe,B,R,0,0.36
2020-09-09,61,Stripe,B,R,0,0.19
2020-09-09,62,Stripe,B,R,0,0.14
2020-09-09,63,Stripe,B,R,0,0.2
2020-09-09,64,Stripe,A,R,1,0.2
2020-09-09,65,Stripe,A,R,1,0.21
2020-09-09,66,Stripe,A,R,1,0.26
2020-09-09,67,Stripe,B,R,0,0.45
2020-09-09,68,Stripe,A,R,1,0.16
2020-09-09,69,Stripe,B,R,0,0.19
2020-09-09,70,Stripe,A,R,1,0.26
2020-09-09,71,Stripe,B,R,0,0.18
2020-09-09,72,Stripe,B,R,0,0.95
2020-09-09,73,Stripe,A,R,1,0.16
2020-09-09,74,Stripe,B,R,0,1.63
2020-09-09,75,Stripe,B,R,0,0.19
2020-09-09,76,Stripe,A,R,1,0.55
2020-09-09,77,Stripe,A,R,1,0.21
2020-09-09,78,Stripe,A,R,1,0.39
2020-09-09,79,Stripe,A,R,1,1.29
2020-09-09,80,Stripe,A,R,1,0.19
2020-09-10,1,Stripe,B,L,1,0.31
2020-09-10,2,Stripe,A,R,1,0.39
2020-09-10,3,Stripe,B,R,0,0.85
2020-09-10,4,Stripe,A,R,1,0.2
2020-09-10,5,Stripe,A,R,1,0.26
2020-09-10,6,Stripe,A,R,1,0.66
2020-09-10,7,Stripe,B,R,0,0.26
2020-09-10,8,Stripe,B,R,0,0.19
2020-09-10,9,Stripe,A,R,1,0.24
2020-09-10,10,Stripe,B,L,1,4.64
2020-09-10,11,Stripe,A,R,1,0.18
2020-09-10,12,Stripe,B,R,0,0.14
2020-09-10,13,Stripe,B,R,0,0.16
2020-09-10,14,Stripe,B,R,0,0.19
2020-09-10,15,Stripe,B,R,0,3.39
2020-09-10,16,Stripe,B,R,0,1.15
2020-09-10,17,Stripe,A,R,1,1.23
2020-09-10,18,Stripe,A,R,1,0.23
2020-09-10,19,Stripe,B,R,0,0.19
2020-09-10,20,Stripe,B,R,0,0.19
2020-09-10,21,Stripe,B,R,0,0.21
2020-09-10,22,Stripe,B,R,0,1.34
2020-09-10,23,Stripe,B,R,0,1.81
2020-09-10,24,Stripe,A,R,1,0.2
2020-09-10,25,Stripe,B,R,0,0.27
2020-09-10,26,Stripe,A,R,1,0.18
2020-09-10,27,Stripe,B,R,0,0.51
2020-09-10,28,Stripe,A,R,1,1.59
2020-09-10,29,Stripe,B,R,0,0.21
2020-09-10,30,Stripe,B,R,0,0.87
2020-09-10,31,Stripe,B,R,0,0.2
2020-09-10,32,Stripe,B,R,0,0.75
2020-09-10,33,Stripe,A,R,1,0.2
2020-09-10,34,Stripe,B,R,0,0.15
2020-09-10,35,Stripe,A,R,1,0.2
2020-09-10,36,Stripe,B,R,0,0.38
2020-09-10,37,Stripe,B,R,0,1.26
2020-09-10,38,Stripe,A,R,1,0.32
2020-09-10,39,Stripe,B,R,0,1.78
2020-09-10,40,Stripe,A,R,1,0.17
2020-09-10,41,Stripe,B,R,0,0.19
2020-09-10,42,Stripe,B,R,0,1.6
2020-09-10,43,Stripe,A,R,1,0.21
2020-09-10,44,Stripe,A,R,1,0.45
2020-09-10,45,Stripe,B,R,0,0.89
2020-09-10,46,Stripe,A,R,1,0.19
2020-09-10,47,Stripe,A,R,1,0.24
2020-09-10,48,Stripe,A,R,1,0.64
2020-09-10,49,Stripe,B,R,0,0.2
2020-09-10,50,Stripe,A,R,1,0.2
2020-09-10,51,Stripe,A,R,1,0.15
2020-09-10,52,Stripe,B,R,0,0.99
2020-09-10,53,Stripe,A,R,1,0.19
2020-09-10,54,Stripe,B,R,0,0.18
2020-09-10,55,Stripe,A,R,1,0.22
2020-09-10,56,Stripe,B,R,0,0.56
2020-09-10,57,Stripe,B,R,0,1.14
2020-09-10,58,Stripe,B,R,0,0.2
2020-09-10,59,Stripe,A,R,1,0.18
2020-09-10,60,Stripe,B,R,0,0.84
2020-09-10,61,Stripe,A,R,1,0.22
2020-09-10,62,Stripe,A,R,1,0.2
2020-09-10,63,Stripe,B,R,0,2.92
2020-09-10,64,Stripe,B,R,0,0.84
2020-09-10,65,Stripe,A,R,1,0.15
2020-09-10,66,Stripe,B,R,0,1.51
2020-09-10,67,Stripe,B,R,0,2.11
2020-09-10,68,Stripe,A,R,1,0.19
2020-09-10,69,Stripe,B,R,0,1.1
2020-09-10,70,Stripe,A,R,1,0.21
2020-09-10,71,Stripe,A,R,1,0.22
2020-09-10,72,Stripe,A,R,1,0.27
2020-09-10,73,Stripe,A,R,1,0.24
2020-09-10,74,Stripe,A,R,1,0.21
2020-09-10,75,Stripe,A,R,1,0.21
2020-09-10,76,Stripe,A,R,1,0.25
2020-09-10,77,Stripe,A,R,1,0.23
2020-09-10,78,Stripe,A,R,1,1.04
2020-09-10,79,Stripe,A,R,1,0.2
2020-09-10,80,Stripe,A,R,1,0.18
2020-09-11,1,Stripe,B,L,1,0.56
2020-09-11,2,Stripe,A,R,1,0.64
2020-09-11,3,Stripe,A,R,1,0.17
2020-09-11,4,Stripe,A,R,1,0.25
2020-09-11,5,Stripe,A,R,1,0.23
2020-09-11,6,Stripe,B,R,0,5.14
2020-09-11,7,Stripe,B,R,0,0.2
2020-09-11,8,Stripe,B,R,0,0.18
2020-09-11,9,Stripe,A,R,1,0.17
2020-09-11,10,Stripe,A,R,1,0.27
2020-09-11,11,Stripe,B,R,0,0.84
2020-09-11,12,Stripe,B,R,0,0.93
2020-09-11,13,Stripe,A,R,1,0.17
2020-09-11,14,Stripe,B,R,0,0.17
2020-09-11,15,Stripe,A,R,1,0.17
2020-09-11,16,Stripe,A,R,1,0.22
2020-09-11,17,Stripe,A,R,1,0.18
2020-09-11,18,Stripe,A,R,1,0.2
2020-09-11,19,Stripe,A,R,1,0.58
2020-09-11,20,Stripe,A,R,1,0.16
2020-09-11,21,Stripe,A,R,1,0.59
2020-09-11,22,Stripe,A,R,1,1.22
2020-09-11,23,Stripe,B,R,0,0.15
2020-09-11,24,Stripe,B,R,0,0.22
2020-09-11,25,Stripe,B,R,0,0.18
2020-09-11,26,Stripe,A,R,1,0.16
2020-09-11,27,Stripe,A,R,1,0.2
2020-09-11,28,Stripe,A,R,1,0.23
2020-09-11,29,Stripe,B,R,0,0.28
2020-09-11,30,Stripe,A,R,1,0.28
2020-09-11,31,Stripe,B,R,0,0.19
2020-09-11,32,Stripe,A,R,1,0.21
2020-09-11,33,Stripe,B,R,0,1.11
2020-09-11,34,Stripe,A,R,1,0.16
2020-09-11,35,Stripe,A,R,1,0.19
2020-09-11,36,Stripe,B,R,0,0.23
2020-09-11,37,Stripe,B,R,0,0.22
2020-09-11,38,Stripe,A,R,1,0.21
2020-09-11,39,Stripe,B,R,0,0.17
2020-09-11,40,Stripe,B,R,0,0.22
2020-09-11,41,Stripe,B,R,0,0.15
2020-09-11,42,Stripe,A,R,1,0.23
2020-09-11,43,Stripe,A,R,1,0.45
2020-09-11,44,Stripe,A,R,1,0.2
2020-09-11,45,Stripe,B,R,0,1.0
2020-09-11,46,Stripe,B,R,0,0.14
2020-09-11,47,Stripe,A,R,1,0.18
2020-09-11,48,Stripe,B,R,0,0.19
2020-09-11,49,Stripe,B,R,0,0.24
2020-09-11,50,Stripe,A,R,1,0.13
2020-09-11,51,Stripe,A,R,1,0.14
2020-09-11,52,Stripe,A,R,1,0.26
2020-09-11,53,Stripe,B,R,0,0.17
2020-09-11,54,Stripe,B,R,0,0.26
2020-09-11,55,Stripe,B,R,0,0.17
2020-09-11,56,Stripe,B,R,0,1.16
2020-09-11,57,Stripe,B,R,0,0.48
2020-09-11,58,Stripe,B,R,0,2.61
2020-09-11,59,Stripe,B,R,0,0.15
2020-09-11,60,Stripe,A,R,1,0.26
2020-09-11,61,Stripe,A,R,1,0.19
2020-09-11,62,Stripe,B,R,0,0.18
2020-09-11,63,Stripe,A,R,1,0.33
2020-09-11,64,Stripe,B,R,0,0.18
2020-09-11,65,Stripe,B,R,0,0.16
2020-09-11,66,Stripe,B,R,0,2.37
2020-09-11,67,Stripe,B,R,0,0.8
2020-09-11,68,Stripe,B,R,0,0.18
2020-09-11,69,Stripe,B,R,0,0.19
2020-09-11,70,Stripe,A,R,1,0.22
2020-09-11,71,Stripe,B,R,0,0.21
2020-09-11,72,Stripe,A,R,1,0.25
2020-09-11,73,Stripe,A,R,1,0.15
2020-09-11,74,Stripe,A,R,1,0.21
2020-09-11,75,Stripe,A,R,1,0.18
2020-09-11,76,Stripe,A,R,1,0.14
2020-09-11,77,Stripe,B,R,0,0.16
2020-09-11,78,Stripe,A,R,1,0.27
2020-09-11,79,Stripe,B,R,0,0.34
2020-09-11,80,Stripe,B,R,0,0.22
2020-09-12,1,Stripe,A,R,1,0.19
2020-09-12,2,Stripe,A,R,1,0.96
2020-09-12,3,Stripe,B,R,0,0.16
2020-09-12,4,Stripe,B,R,0,0.28
2020-09-12,5,Stripe,A,R,1,0.36
2020-09-12,6,Stripe,B,R,0,0.92
2020-09-12,7,Stripe,A,R,1,0.13
2020-09-12,8,Stripe,B,R,0,0.18
2020-09-12,9,Stripe,B,R,0,0.31
2020-09-12,10,Stripe,A,R,1,0.17
2020-09-12,11,Stripe,B,R,0,0.18
2020-09-12,12,Stripe,A,R,1,0.17
2020-09-12,13,Stripe,B,R,0,0.17
2020-09-12,14,Stripe,A,R,1,0.17
2020-09-12,15,Stripe,B,R,0,0.26
2020-09-12,16,Stripe,A,R,1,0.55
2020-09-12,17,Stripe,B,R,0,0.17
2020-09-12,18,Stripe,A,R,1,0.14
2020-09-12,19,Stripe,B,R,0,0.83
2020-09-12,20,Stripe,A,R,1,1.53
2020-09-12,21,Stripe,A,R,1,0.15
2020-09-12,22,Stripe,B,R,0,0.16
2020-09-12,23,Stripe,A,R,1,0.2
2020-09-12,24,Stripe,A,R,1,0.21
2020-09-12,25,Stripe,B,R,0,0.15
2020-09-12,26,Stripe,A,R,1,0.2
2020-09-12,27,Stripe,A,R,1,0.24
2020-09-12,28,Stripe,A,R,1,0.2
2020-09-12,29,Stripe,B,R,0,0.2
2020-09-12,30,Stripe,B,R,0,0.22
2020-09-12,31,Stripe,B,R,0,1.48
2020-09-12,32,Stripe,B,L,1,3.04
2020-09-12,33,Stripe,B,R,0,0.24
2020-09-12,34,Stripe,A,R,1,0.14
2020-09-12,35,Stripe,B,R,0,0.19
2020-09-12,36,Stripe,B,R,0,0.16
2020-09-12,37,Stripe,B,R,0,0.25
2020-09-12,38,Stripe,B,L,1,2.57
2020-09-12,39,Stripe,B,R,0,0.45
2020-09-12,40,Stripe,A,R,1,0.23
2020-09-12,41,Stripe,B,R,0,0.79
2020-09-12,42,Stripe,B,R,0,0.16
2020-09-12,43,Stripe,B,R,0,0.18
2020-09-12,44,Stripe,B,R,0,0.21
2020-09-12,45,Stripe,A,R,1,0.17
2020-09-12,46,Stripe,A,R,1,0.24
2020-09-12,47,Stripe,A,R,1,0.2
2020-09-12,48,Stripe,A,R,1,0.19
2020-09-12,49,Stripe,B,R,0,0.26
2020-09-12,50,Stripe,B,R,0,0.92
2020-09-12,51,Stripe,B,R,0,0.17
2020-09-12,52,Stripe,A,R,1,0.17
2020-09-12,53,Stripe,A,R,1,0.33
2020-09-12,54,Stripe,B,R,0,0.93
2020-09-12,55,Stripe,A,R,1,0.19
2020-09-12,56,Stripe,B,R,0,0.2
2020-09-12,57,Stripe,A,R,1,0.23
2020-09-12,58,Stripe,A,R,1,0.19
2020-09-12,59,Stripe,B,R,0,0.23
2020-09-12,60,Stripe,B,R,0,0.19
2020-09-12,61,Stripe,A,R,1,0.18
2020-09-12,62,Stripe,B,R,0,1.74
2020-09-12,63,Stripe,A,R,1,0.18
2020-09-12,64,Stripe,A,R,1,0.26
2020-09-12,65,Stripe,B,R,0,0.2
2020-09-12,66,Stripe,B,R,0,0.24
2020-09-12,67,Stripe,B,R,0,0.2
2020-09-12,68,Stripe,A,R,1,0.19
2020-09-12,69,Stripe,B,R,0,1.04
2020-09-12,70,Stripe,A,R,1,0.38
2020-09-12,71,Stripe,A,R,1,0.21
2020-09-12,72,Stripe,B,R,0,0.21
2020-09-12,73,Stripe,A,R,1,0.14
2020-09-12,74,Stripe,A,R,1,0.26
2020-09-12,75,Stripe,B,R,0,0.32
2020-09-12,76,Stripe,A,R,1,0.2
2020-09-12,77,Stripe,A,R,1,0.23
2020-09-12,78,Stripe,A,R,1,0.24
2020-09-12,79,Stripe,A,R,1,0.24
2020-09-12,80,Stripe,A,R,1,0.23
2020-09-14,1,Stripe,B,R,0,0.17
2020-09-14,2,Stripe,B,R,0,0.19
2020-09-14,3,Stripe,A,R,1,0.16
2020-09-14,4,Stripe,B,R,0,0.17
2020-09-14,5,Stripe,B,R,0,0.3
2020-09-14,6,Stripe,A,R,1,0.15
2020-09-14,7,Stripe,B,R,0,0.55
2020-09-14,8,Stripe,B,R,0,0.48
2020-09-14,9,Stripe,B,R,0,0.18
2020-09-14,10,Stripe,A,L,0,1.63
2020-09-14,11,Stripe,B,R,0,0.18
2020-09-14,12,Stripe,A,R,1,0.23
2020-09-14,13,Stripe,B,R,0,0.78
2020-09-14,14,Stripe,B,R,0,0.18
2020-09-14,15,Stripe,A,R,1,1.05
2020-09-14,16,Stripe,A,R,1,0.14
2020-09-14,17,Stripe,A,R,1,0.18
2020-09-14,18,Stripe,A,R,1,0.42
2020-09-14,19,Stripe,B,R,0,0.17
2020-09-14,20,Stripe,A,R,1,0.17
2020-09-14,21,Stripe,A,R,1,0.16
